name,address,telephone,parlimen,dun,latitude,longitude
McDonald'sTerminal1Seremban,"LotLG35,LowerGround,Terminal1ShoppingComple,70300,Seremban,NegeriSembilan,Malaysia",06-7621257,P.130 Rasah,N.21 Bukit Kepayang,2.722481,101.936979
McDonald'sAmpangPoint,"LotG08,GroundFloor,AmpangPointShoppingCentre,JalanMamanda3,68000,Ampang,Selangor,Malaysia",03-42653689,P.099 Ampang,N.19 Bukit Antarabangsa,3.157739,101.750803
McDonald'sIOIPuchongMall,"Lot17,GroundFloor,IOIMall,Batu9JalanPuchong,BandarPuchongJaya,47100,Puchong,Selangor,Malaysia",03-80718009,P.104 Subang,N.30 Kinrara,3.045519,101.618013
McDonald'sDesaPandan,"Lot2&2-1,Jalan1/76D,DesaPandan,55100,KualaLumpur,Malaysia",03-92852636,P.119 Titiwangsa,,3.14709,101.736853
McDonald'sCityPlaza,"GF7,CityPlaza,JalanTuankuIbrahim,05100,AlorSetar,Kedah,Malaysia",04-7308288,P.009 Alor Setar,N.13 Kota Darul Aman,6.11773,100.369718
McDonald'sCentralSquare,"G16-G19,GroundFloor,KompleksCentralSquare,23,JalanKampungBaru,08000,SungaiPetani,Kedah,Malaysia",04-4211117,P.015 Sungai Petani,N.28 Bakar Arang,5.636536,100.488095
McDonald'sTheMines,"Lot79,2ndFloor,TheMinesShoppingFair,JalanDulang,MinesResortCity,43300,SriKembangan,Selangor,Malaysia",03-89425749,P.103 Puchong,N.28 Seri Kembangan,3.027901,101.718106
McDonald'sKluang,"No.1,JalanMd.LazimSaim,86000,Kluang,Johor,Malaysia",07-7716134,P.152 Kluang,N.29 Mahkota,2.034448,103.320414
McDonald'sDesaUniversiti,"Lot4B,4C&4D,DesaUniversiti,JalanSg.Dua,11700,SungaiDua,PulauPinang,Malaysia",04-6599399,P.052 Bayan Baru,N.35 Batu Uban,5.352584,100.299424
McDonald'sPermasJaya,"No2,JalanPermasJaya10,BandarBaruPermasJaya,80400,JohorBahru,Johor,Malaysia",07-3804925,P.159 Pasir Gudang,N.43 Permas,1.49526,103.815515
McDonald'sBukitJambul,"3A-G-19,KompleksBukitJambul,JalanRumbia,11900,PulauPinang,Malaysia",04-6468988,P.052 Bayan Baru,N.35 Batu Uban,5.334074,100.290991
McDonald'sSunwayPyramid,"LL2.41,SunwayPyramidMegamall,No.3,JalanPJS11/15,BandarSunway,46150,Selangor,Malaysia",03-56112097,P.104 Subang,N.31 Subang Jaya,3.071924,101.607403
McDonald'sJalanTunPerak,"38,JalanTunPerak,Ground&MezzanineFloor,WismaTeckLee,50050,KualaLumpur,Malaysia",03-20266899,P.120 Bukit Bintang,,3.149178,101.696865
McDonald'sGombak,"M01&M02,KompleksIdaman,No.40-50,Jalan2/21D,MedanIdaman,Batu51/4,JalanGombak,53000,KualaLumpur,Malaysia",03-40316251,P.116 Wangsa Maju,,3.212711,101.711531
McDonald'sBandarBaruNilai,"ShoplotPTNo.7330,BandarBaruNilai,79149Nilai,NegeriSembilan,Malaysia",06-7948788,P.128 Seremban,N.10 Nilai,2.815152,101.791978
McDonald'sPlazaAngsana,"LotNo.L1-27,PlazaAngsana,JalanSkudai,PusatBandarTampoi,81000,Johor,Malaysia",07-2321277,P.161 Pulai,N.47 Kempas,1.495077,103.705668
McDonald'sLangkawiFair,"GF3,LangkawiFair,Lot44,JalanPersiaranPutra,07000,Langkawi,Kedah,Malaysia",04-9662388,P.004 Langkawi,N.02 Kuah,6.310419,99.85622
McDonald'sKuchingII,"GroundFloor,ShopLotNo.12&13,3rdMile,JalanTunAhmadZaidiAdruce,93250,Kuching,Sarawak,Malaysia",082-232265,P.195 Bandar Kuching,N.11 Batu Lintang,1.525011,110.336949
McDonald'sGentingSempahDT,"KawasanRehatGenting-Sempah,KM38.4LebuhrayaKL-Karak,GentingSempah,28750,Bentong,Pahang,Malaysia",09-2330833,P.089 Bentong,N.34 Ketari,3.351034,101.790741
McDonald'sMegaMallKuantan,"LotNo.G-89&1-85(Ground&First),BerjayaMegamall,JalanTunIsmail,SriDagangan,25000,Kuantan,Pahang,Malaysia",09-5316255,P.083 Kuantan,N.14 Teruntum,3.816003,103.330452
McDonald'sLitrakDT,"LayBy3,HentianSebelahPetalingJaya,LebuhrayaDamansaraPuchong,BandarSunway,PJS9,47600,PetalingJaya,Selangor,Malaysia",03-56328658,P.104 Subang,N.31 Subang Jaya,3.060685,101.614373
McDonald'sBandarUtamaDT,"No.5LebuhBandarUtama,PJU6,BandarUtama,47800,PetalingJaya,Selangor,Malaysia",03-77265099,P.106 Damansara,N.36 Bandar Utama,3.137382,101.609558
McDonald'sMontKiara,"No.1,BlockD,PlazaMontKiara,JalanBukitKiara,50480,BukitKiara,KualaLumpur,Malaysia",03-62033759,P.117 Segambut,,3.165745,101.652203
McDonald'sTamanBuayaDT,"Lot4570TamanBuayaMelaka,MukimBukitKatil,DaerahMelakaTengah,75320,AirKeroh,Melaka,Malaysia",06-2337400,P.137 Hang Tuah Jaya,N.16 Ayer Keroh,2.277511,102.298276
McDonald'sSriGombak,"No.1JalanSG.1/6,TamanSriGombak,68100,BatuCaves,Selangor,Malaysia",03-61889587,P.098 Gombak,N.17 Gombak Setia,3.23776,101.6993
McDonald'sJalanTebrauDT,"LotPTD68950,Batu71/2,JalanKotaTinggi,81100,JohorBahru,Johor,Malaysia",07-3544108,P.158 Tebrau,N.41 Puteri Wangsa,1.535706,103.784543
McDonald'sAEONWangsaMaju,"LotsF2.43,F2.44,F2.45,LevelF2,AeonWangsaMaju,No.6Jalan8/27A,Section5,53300,,KualaLumpur,Malaysia",03-41495655,P.118 Setiawangsa,,3.196319,101.743032
McDonald'sPetronSeremban-KLHighwayDT,"8KM,KL-SerembanHighway,57000,SeriKembangan,KualaLumpur,Malaysia",03-89423932,P.103 Puchong,N.28 Seri Kembangan,3.047047,101.705739
McDonald'sPranginMall,"Lot33-1-40,PranginMall,JalanDrLimChweeLeong,10000,GeorgeTown,PulauPinang,Malaysia",04-2626277,P.049 Tanjong,N.28 Komtar,5.414422,100.331057
McDonald'sSunwayMentari,"No.30SunwayMentari,GroundFloorDataranMentari,JalanPJS8/2,46150,PetalingJaya,Selangor,Malaysia",03-56117941,P.105 Petaling Jaya,N.31 Subang Jaya,3.074902,101.612113
McDonald'sTelukCempedakDT,"KawasanRekreasiTelukCempedak,JalanTelukCempedak,25100,Kuantan,Pahang,Malaysia",09-5054573,P.083 Kuantan,N.14 Teruntum,3.812396,103.37171
McDonald'sTamanSriAndalas,"No.2,JalanSriSarawak18,TamanSriAndalas,41200,Klang,Selangor,Malaysia",03-33247937,P.111 Kota Raja,N.49 Sungai Kandis,3.016452,101.442557
McDonald'sSection3ShahAlamDT,"No.4,JalanRU3/94,Sect3,40000,ShahAlam,Selangor,Malaysia",03-55139811,P.108 Shah Alam,N.40 Kota Anggerik,3.07445,101.510395
McDonald'sSubangDT,"No.1JalanSS15/3A,47500,SubangJaya,Selangor,Malaysia",015-96049975,P.104 Subang,N.31 Subang Jaya,3.079081,101.585985
McDonald'sLotussPuchongDT,"LotNo.7&9,GroundFloor,TescoHypermarket,JalanBandar3,PusatBandarPuchong,47100,Puchong,Selangor,Malaysia",03-80804917,P.104 Subang,N.30 Kinrara,3.035194,101.616172
McDonald'sSenawangDT,"Lot2726,JalanTamanKomersilSenawang1,TamanKomersilSenawang,70450,Senawang,NegeriSembilan,Malaysia",06-6788489,P.131 Rembau,N.25 Paroi,2.703619,101.985591
McDonald'sAEONTamanUniversity,"LG08,JuscoShoppingCenter,No.4,JalanPendidikan,TamanUniversiti,81300,Skudai,Johor,Malaysia",07-5506427,P.162 Iskandar Puteri,N.49 Kota Iskandar,1.542346,103.629175
McDonald'sBandarSriDamansaraDT,"LotPT21552&PT21553,MukimSungaiBuloh,PersiaranPerdana,52200,BandarSriDamansara,KualaLumpur,Malaysia",03-62741559,P.106 Damansara,N.37 Bukit Lanjan,3.195093,101.607767
McDonald'sPetronasSkudaiDT,"LotNo.PTD13309&PTD52136,KM11JalanSkudai,MukimTebrau,81200,JohorBahru,Johor,Malaysia",07-2383932,P.161 Pulai,N.47 Kempas,1.500357,103.697691
McDonald'sPandanMewahDT,"BangunanRestoranMcDonald's,JalanMewahUtara,68000,Ampang,KualaLumpur,Malaysia",03-42955046,P.100 Pandan,N.22 Teratai,3.128108,101.762843
McDonald'sPuchongPermaiDT,"Lot32426JalanPuchongPermai2,TamanPuchongPermai,47100,Puchong,Selangor,Malaysia",03-80518413,P.103 Puchong,N.29 Seri Serdang,3.009016,101.59908
McDonald'sSetiawangsaDT,"Lot16794&16795,Jalan37/56,TamanSetiawangsa,54200,KualaLumpur,Malaysia",03-42651384,P.118 Setiawangsa,,3.178129,101.743585
McDonald'sJuruDT,"No.1689,JalanPerusahaan,HighwayAutoCity,KawasanPerusahaan4,North-SouthHighway,JuruInterchange,MK11,SeberangPeraiTengahPerai4,13600,Perai,PulauPinang,Malaysia",04-5080510,P.046 Batu Kawan,N.17 Bukit Tengah,5.337408,100.431189
McDonald'sBerjayaTimesSquare,"Lot05-93,93A,No.1,JalanImbi,55100,KualaLumpur,Malaysia",03-21100154,P.120 Bukit Bintang,,3.142065,101.710819
McDonald'sSriKertehDT,"LotPT7132,MukimKerteh,24300,DaerahKemaman,Terengganu,Malaysia",09-8266920,P.040 Kemaman,N.29 Kemasik,4.506567,103.442922
McDonald'sKotaDamansaraDT,"LotB,JalanCecawi6/18A,KotaDamansara,47810,PetalingJaya,Selangor,Malaysia",03-61561180,P.107 Sungai Buloh,N.39 Kota Damansara,3.160465,101.574277
McDonald'sKotaKemuning,"No.1,JalanAnggerikVanilla31/94,Seksyen31,KotaKemuning,40706,ShahAlam,Selangor,Malaysia",03-51310287,P.111 Kota Raja,N.50 Kota Kemuning,3.002996,101.540994
McDonald'sKaramunsing,"LotG-21,23,25and26part,CompleKaramunsing,JalanKaramunsing,88000,KotaKinabalu,Sabah,Malaysia",088-255346,P.172 Kota Kinabalu,N.20 Api-Api,5.971027,116.075163
McDonald'sCalteSunwayPraiDT,"LotNos.5730,5731&5732,JalanJelawat,Mukim1,PusatBandarSeberangJaya,13700,Prai,PulauPinang,Malaysia",04-3982180,P.046 Batu Kawan,N.17 Bukit Tengah,5.339805,100.400229
McDonald'sKuchaiLamaDT,"1/116B,OffJalanKuchaiLama,KuchaiEntrepreneursPark,58200,KualaLumpur,Malaysia",03-79822180,P.122 Seputeh,,3.087352,101.690106
McDonald'sTamanConnaughtDT,"Lot18113,JalanCendikiawan,55100,MukimPetaling,KualaLumpur,Malaysia",03-91016190,P.123 Cheras,,3.081484,101.731946
McDonald'sBukitTinggiDT,"Lot1,PersiaranBatuNilam,BandarBaruBukitTinggi,41200,Klang,Selangor,Malaysia",03-33243190,P.111 Kota Raja,N.48 Sentosa,3.007941,101.432729
McDonald'sDamansaraDamaiDT,"Lot36327,JalanPJU10/1,DamansaraDamai,47000,SungaiBuloh,Selangor,Malaysia",03-61435573,P.106 Damansara,N.37 Bukit Lanjan,3.19494,101.591349
McDonald'sPelangiIndahDT,"PetronasPetrolStation,LotNo.105615,JalanPesona,TamanPelangiIndah,81800,JohorBahru,Johor,Malaysia",07-8610480,P.158 Tebrau,N.41 Puteri Wangsa,1.582352,103.800959
McDonald'sRawangDT,"LotPT678,JalanPusatBandar,48000,Rawang,Selangor,Malaysia",03-60901716,P.097 Selayang,N.14 Rawang,3.32015,101.576902
McDonald'sPetronasTPMDT,"PetronasPetrolStation,TechnologyParkMalaysia,SerembanKL-Highway,50700,KualaLumpur,Malaysia",03-90541502,P.122 Seputeh,,3.056652,101.704186
McDonald'sLotussPenang,"1-1-01&1-1-02,LotA3-4,JalanUdini,11700,PulauPinang,Malaysia",04-6579803,P.051 Bukit Gelugor,N.32 Seri Delima,5.377527,100.315257
McDonald'sTheCurve,"LotNoGZF-05&GZF-06,GroundFloor,TheCurve,MutiaraDamansara,47800,PetalingJaya,Selangor,Malaysia",03-76215834,P.106 Damansara,N.37 Bukit Lanjan,3.157567,101.612382
McDonald'sEquineParkDT,"LotNo.2,PersiaranEquine,TamanEquine,43300,SeriKembangan,Selangor,Malaysia",03-89385387,P.103 Puchong,N.29 Seri Serdang,2.995664,101.67021
McDonald'sUluKelang,"Lot517,276&277,Batu7,LebuhrayaLingkaranTengah2,MRR2,53300,MukimUluKelang,Selangor,Malaysia",03-41617604,P.098 Gombak,N.18 Hulu Kelang,3.202369,101.760348
McDonald'sDesaAmanPuriDT,"StesyenMinyakShell,LotNo.PT1021&PT1022,JalanAman,PersiaranPerdana,DesaAmanPuri,52100,Kepong,Selangor,Malaysia",03-62759170,P.106 Damansara,N.37 Bukit Lanjan,3.20839,101.614484
McDonald'sTanSriYaacob,"No.2,JalanJati,TamanNusaBestariJaya,81300,JohorBahru,Johor,Malaysia",07-5122741,P.161 Pulai,N.46 Perling,1.497839,103.655888
McDonald'sAlamandaPutrajaya,"LG-07,LowerGroundFloor,AlamandaShoppingComple,JalanAlamanda,Presinct1,62000,Putrajaya,KualaLumpur,Malaysia",03-88888641,P.125 Putrajaya,,2.939491,101.710793
McDonald'sKulaiDT,"Lot1150,JalanKasturi36/41,Indahpura,81000,Kulai,JohorBahru,Johor,Malaysia",07-6626515,P.163 Kulai,N.52 Senai,1.638243,103.625675
McDonald'sAEONSeremban2,"LotG43,GroundFloor,JuscoSeremban2,ShoppingCentre,112PersiaranS2,PhaseB1,Seremban2,70300,Seremban,NegeriSembilan,Malaysia",06-6015842,P.130 Rasah,N.21 Bukit Kepayang,2.701288,101.91168
McDonald'sUTMSkudaiDT,"LotPT61054,Batu11,JalanPontian,81300,Skudai,Johor,Malaysia",07-5621047,P.163 Kulai,N.52 Senai,1.550878,103.650721
McDonald'sNKVEDT,"Lot15385SeksyenPJU1A,KM15.4ArahUtara,LebuhBaruLembahKelang,40150,PetalingJaya,Selangor,Malaysia",03-78028664,P.105 Petaling Jaya,N.32 Seri Setia,3.119409,101.59301
McDonald'sPetronasAmpangDT,"D/APetronasServisStesen,JalanKolamAyerLama,Lot36904(PT27423),TamanDato'AhmadRazali,68000,Ampang,Selangor,Malaysia",03-42651703,P.099 Ampang,N.19 Bukit Antarabangsa,3.160062,101.754149
McDonald'sDataranPahlawan,"LotA02,DataranPahlawanMelakaMegamall,JalanMerdeka,75000,Melaka,Malaysia",06-2810679,P.138 Kota Melaka,N.22 Bandar Hilir,2.190503,102.248951
McDonald'sTamanSuteraDT,"LotPT135893,JalanRodaUtama,81300,Skudai,JohorBahru,Johor,Malaysia",07-5565121,P.162 Iskandar Puteri,N.48 Skudai,1.523079,103.678383
McDonald'sQueensbayMall,"LG-73,LowerGroundFloor,QueensbayMall,100,PersiaranBayanIndah,11900,PulauPinang,Malaysia",04-6411559,P.052 Bayan Baru,N.36 Pantai Jerejak,5.332927,100.306606
McDonald'sBandarTunHusseinOnnDT,"LotPT18150&PT18151,JalanSuasana2/2,BandarTunHusseinOnn,43200,Cheras,Selangor,Malaysia",03-90813046,P.102 Bangi,N.27 Balakong,3.050159,101.765296
McDonald'sJuscoBalakong,"LotG51,GroundFloor,JuscoBalakongShoppingCentre,43200,Balakong,Selangor,Malaysia",03-90753905,P.102 Bangi,N.27 Balakong,3.033386,101.764829
McDonald'sSriManjungDT,"Lot114,JalanLumut,Setiawangsa,32010,SriManjung,Perak,Malaysia",05-6887155,P.074 Lumut,N.51 Pasir Panjang,4.199318,100.655218
McDonald'sJalanGopengDT,"PN684,MukimUluKinta,JalanGopeng,31350,Ipoh,Perak,Malaysia",05-3111916,P.071 Gopeng,N.45 Simpang Pulai,4.57256,101.112687
McDonald'sSection22ShahAlamDT,"No.2,Jalan22/6,Seksyen22,40300,ShahAlam,Selangor,Malaysia",03-51037743,P.108 Shah Alam,N.41 Batu Tiga,3.040568,101.547503
McDonald'sPetronasMelatiDT,"Lot3644HS(D)70344&,LotPT8081HS(D)107241,TamanMelati,MukimSetapak,53100,KualaLumpur,Malaysia",03-41473107,P.116 Wangsa Maju,,3.225019,101.728649
McDonald'sBantingDT,"No.2JalanCemerlang4,42700Banting,Selangor,Malaysia",03-31813188,P.112 Kuala Langat,N.52 Banting,2.812972,101.50808
McDonald'sAEONBukitTinggi,"AEONBukitTinggiShoppingCentre,No.1,PersiaranBatuNilam1/KS6,BandarBukitTinggi2,41200,Klang,Selangor,Malaysia",03-33188457,P.111 Kota Raja,N.48 Sentosa,2.994316,101.444921
McDonald'sCalteFarlimDT,"CalteFarlimPetrolstation,LotNo.9435,Mukim13,NorthEastDistrict,11900,PulauPinang,Malaysia",012-7877219,P.051 Bukit Gelugor,N.34 Paya Terubong,5.387483,100.276876
McDonald'sMelakaSentral,"PlazaMelakaSentral,LotNo.59,ZoneD,GroundFloor,75000,Melaka,Malaysia",06-2841224,P.137 Hang Tuah Jaya,N.15 Pengkalan Batu,2.221022,102.250072
McDonald's1BorneoMall,"ConcourseFloor,1BorneoMall,LotNo.C215-C218&PartofD219,88871,KotaKinabalu,Sabah,Malaysia",088-447568,P.171 Sepanggar,N.16 Karambunai,6.035481,116.128903
McDonald'sRahmanPutraDT,"No.4,Lot33428,JalanBRP3/3,BukitRahmanPutra,SeksyenU20,40160,ShahAlam,Selangor,Malaysia",03-61417586,P.107 Sungai Buloh,N.38 Paya Jaras,3.224623,101.556665
McDonald'sShellJalanCherasDT,"LotPT7430,HSD111856,KM5.5,JalanCheras,56000,Cheras,KualaLumpur,Malaysia",03-91331724,P.123 Cheras,,3.104739,101.732853
McDonald'sKKAirport,"LotNo.L3-L14,PublicConcourse,DepartureLevelTerminal1,KotaKinabaluInternationalAirport,88100,KotaKinabalu,Sabah,Malaysia",088-413791,P.173 Putatan,N.22 Tanjong Aru,5.923602,110.05062
McDonald'sLabuanAirport,"LotNo.L1L04-L1L06,LabuanAirport,ArrivalHall1,TerminalBuilding,80569,WPLabuan,Malaysia",087-428890,P.166 Labuan,,5.29399,115.249723
McDonald'sSriAlamMasaiDT,"LotPTD174172,JalanSeriAlam,BandarSeriAlam,81750,Masai,Johor,Malaysia",07-2564463,P.159 Pasir Gudang,N.42 Johor Jaya,1.496185,103.870776
McDonald'sBandarBaruBangiDT,"PTD68518,PersiaranBangi,43650,BandarBaruBangi,Selangor,Malaysia",03-89221553,P.102 Bangi,N.26 Sungai Ramal,2.961851,101.758106
McDonald'sBatuPahatDT,"LotPTD48029,TamanFloraUtama,JalanTanSweeHoe,83000,BatuPahat,Johor,Malaysia",07-4339286,P.149 Sri Gading,N.21 Parit Yaani,1.865327,102.947235
McDonald'sTelukIntanDT,"Lot5017McDonald's,JalanChangkatJong,36000,TelukIntan,Perak,Malaysia",05-6211912,P.076 Teluk Intan,N.55 Pasir Bedamar,4.017385,101.027503
McDonald'sTaipingSentral,"LotG-21andG-22,GroundFloor,TaipingSentral,No36,JalanIstanaLarut,34000,Taiping,Perak,Malaysia",05-8058167,P.060 Taiping,N.17 Pokok Assam,4.865729,100.731111
McDonald'sKlangSentral,"No.2,JalanKlangSentral/KU05,BukitRaja,Meru,41050,Klang,Selangor,Malaysia",03-33583012,P.109 Kapar,N.42 Meru,3.110278,101.441132
McDonald'sPetronasKLIADT,"LotPT3906,JalanTerminalKLIA(Outbound),64000,Sepang,Selangor,Malaysia",016-2232827,P.113 Sepang,N.56 Sungai Pelek,2.764666,101.683261
McDonald'sPrimaSaujanaKajangDT,"LotPT52317,PrimaSaujana,MukimKajang,43000,Kajang,Selangor,Malaysia",03-87416420,P.101 Hulu Langat,N.24 Semenyih,3.007491,101.804351
McDonald'sMelakaMallDT,"SebahagianLotPT3368,LebohAyehKeroh,MukimBukitBaru,75450,Melaka,Malaysia",06-3170712,P.137 Hang Tuah Jaya,N.17 Bukit Katil,2.231665,102.281344
McDonald'sDataranPahlawan2,"FG-15&FG-16,GroundFloor,DataranPahlawanMelakaMegamall,JalanMerdeka,75000,Melaka,Malaysia",06-2866079,P.138 Kota Melaka,N.22 Bandar Hilir,2.190281,102.252978
McDonald'sKBMall,"LotNo.29A&30,GroundFloor,KBMall,JalanHamzah,15050,KotaBharu,Kelantan,Malaysia",09-7419787,P.021 Kota Bharu,N.09 Kota Lama,6.117193,102.240196
McDonald'sPuchongGatewayDT,"LotNo.48733,MukimPetalingLDPPuchongGateway,47100,Puchong,Selangor,Malaysia",03-89586508,P.103 Puchong,N.29 Seri Serdang,2.981733,101.648354
McDonald'sBandarPerdaDT,"PT860,HS(D)1217,BandarPerda,Mukim6,DaerahSeberangPraiTengah,14000,PulauPinang,Malaysia",04-3830675,P.044 Permatang Pauh,N.10 Seberang Jaya,5.36814,100.424111
McDonald'sPasirGudangDT,"LotPT69990,HSD124966,JalanBandarMukimPlentong,BandarBaruPasirGudang,81700PasirGudang,Johor,Malaysia",07-2526102,P.159 Pasir Gudang,N.43 Permas,1.470203,103.905013
McDonald'sKotaTinggi,"BlockA,Lot2Aras1,Aras2&Lot1Aras1,JalanNiaga11,MukimKotaTinggi,DaerahKotaTinggi,81900,KotaTinggi,Johor,Malaysia",07-8828825,P.156 Kota Tinggi,N.37 Johor Lama,1.729912,103.902428
McDonald'sSunwayCityIpohDT,"Lot303521,SunwayCity,MukimHuluKinta,DaerahKinta,31150UluKinta,Ipoh,Perak,Malaysia",05-5452194,P.063 Tambun,N.24 Hulu Kinta,4.624887,101.151631
McDonald'sPutraNilaiDT,"PT1134,PersiaranPusatBandar,71800Nilai,NegeriSembilan,Malaysia",06-7971888,P.128 Seremban,N.10 Nilai,2.822465,101.793611
McDonald'sPetronasMRR2KepongDT,"Lot25747,LebuhRayaSelayang,KepongLebuhRaya,LingkaranTengah2(MRR2),52100,Kepong,KualaLumpur,Malaysia",03-62596498,P.115 Batu,,3.229265,101.65503
McDonald'sBukitIndahDT,"No.57,JalanIndah15/2,BukitIndah,81200,JohorBahru,Johor,Malaysia",07-2385535,P.161 Pulai,N.46 Perling,1.48168,103.65776
McDonald'sPengkalanDT,"No.686,JalanPasirPuteh,PengkalanPegoh,31500,Ipoh,Perak,Malaysia",05-3203764,P.064 Ipoh Timor,N.26 Tebing Tinggi,4.542201,101.07017
McDonald'sPuncakAlamDT,"Lot10655,JalanUtama,BandarPuncakAlam,45010,KualaSelangor,Selangor,Malaysia",03-33924370,P.107 Sungai Buloh,N.38 Paya Jaras,3.221722,101.447869
McDonald'sKamparDT,"SebahagianLotNo.126028,JalanBatuSinar,TamanBandarBaruKampar,31900,Kampar,Perak,Malaysia",05-4658626,P.070 Kampar,N.42 Keranji,4.326304,101.144709
McDonald's1Utama,"LotLG221,LowerGroundFloorPromenade,1UtamaShoppingCentre,PersiaranBandarUtama,BandarUtama,47800,PetalingJaya,Selangor,Malaysia",03-77262361,P.106 Damansara,N.36 Bandar Utama,3.150325,101.615344
McDonald'sSibu,"ShopLotNo.2(Ground&1stFloor)andShopLotNo.4(GroundFloor),CausewayRoad,96007,Sibu,Sarawak,Malaysia",084-335522,P.211 Lanang,N.51 Bukit Assek,2.290759,111.826063
McDonald'sMiriPermyjaya,"Lot5993,Block11,K.B.L.D.DesaIndah3,JalanTudan,BandarBaruPermyjaya,98000,Miri,Sarawak,Malaysia",085-641587,P.219 Miri,N.75 Senadin,4.471653,114.042988
McDonald'sDungun,"GroundFloor&1stFloor,JalanBaruPakSabah,MukimKualaDungun,23000,Dungun,Terengganu,Malaysia",09-8441334,P.039 Dungun,N.27 Sura,4.755274,103.414494
McDonald'sKulimDT,"No.28,JalanKLC1,KulimLandmarkCentral,09000Kedah,Malaysia",04-4903063,P.017 Padang Serai,N.34 Lunas,5.383114,100.545805
McDonald'sUluTiramDT,"SebahagianLotPTD19827,MukimTebrau,UluTiram,81800,JohorBahru,Johor,Malaysia",07-8633429,P.158 Tebrau,N.40 Tiram,1.594882,103.82003
McDonald'sCalteBandarPuteriKlangDT,"Lot133826,LebuhSanggul1/KS7,BandarPuteri,41200,Klang,Selangor,Malaysia",03-51623985,P.111 Kota Raja,N.49 Sungai Kandis,2.988257,101.465999
McDonald'sPetronasBatuFerringhiDT,"Lot697&Lot764,JalanBatuFerringi,Seksyen2,BandarBaruFerringi,DaerahTimurLaut,11100,PulauPinang,Malaysia",04-8812516,P.048 Bukit Bendera,N.22 Tanjong Bunga,5.475314,100.251541
